model,name,desc,cat1,cat2,cat3,cat4,quantity,price,manufacturer,manufacturer_pb,weight,unit
111151,"""Dekoracija lomljena školjka BELA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",302,63,"""4NAILS""",,0,"""kom"""
111152,"""Dekoracija lomljena školjka NARANDŽASTA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",437,63,"""4NAILS""",,0,"""kom"""
111153,"""Dekoracija lomljena školjka SV. LJUBIČASTA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",346,63,"""4NAILS""",,0,"""kom"""
111154,"""Dekoracija lomljena školjka PINK 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",239,63,"""4NAILS""",,0,"""kom"""
111155,"""Dekoracija lomljena školjka CIGLA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",509,63,"""4NAILS""",,0,"""kom"""
111156,"""Dekoracija lomljena školjka PRLJAVO ROZA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",313,63,"""4NAILS""",,0,"""kom"""
111157,"""Dekoracija lomljena školjka KAPUĆINO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",365,63,"""4NAILS""",,0,"""kom"""
111158,"""Dekoracija lomljena školjka BAKARNA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",384,63,"""4NAILS""",,0,"""kom"""
111159,"""Dekoracija lomljena školjka KREM 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",0,63,"""4NAILS""",,0,"""kom"""
111160,"""Dekoracija lomljeno staklo ZELENA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",0,63,"""4NAILS""",,0,"""kom"""
111161,"""Dekoracija lomljeno staklo BELA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",3,63,"""4NAILS""",,0,"""kom"""
